Cycle, Iteration, PacketSize, B, C, R_last
0 , 0 , 235 , 0 , 235 , 0
0 , 1 , 4300 , 0 , 200 , 235
0 , 2 , 235 , 2 , 1378 , 4300
0 , 3 , 4300 , 2 , 200 , 235
0 , 4 , 235 , 3 , 553 , 4300
0 , 5 , 1750 , 1 , 1966 , 235
0 , 6 , 2350 , 1 , 2684 , 1750
0 , 7 , 3850 , 0 , 3946 , 2350
0 , 8 , 3850 , 0 , 5141 , 3850
0 , 9 , 3850 , 0 , 4662 , 3850
0 , 10 , 235 , 1 , 3723 , 3850
0 , 11 , 3850 , 2 , 3870 , 235
0 , 12 , 235 , 2 , 2433 , 3850
0 , 13 , 1750 , 2 , 2139 , 235
0 , 14 , 235 , 2 , 939 , 1750
0 , 15 , 1050 , 2 , 1125 , 235
0 , 16 , 1050 , 2 , 1371 , 1050
0 , 17 , 2350 , 3 , 2664 , 1050
0 , 18 , 3850 , 3 , 3912 , 2350
0 , 19 , 3850 , 2 , 5269 , 3850
0 , 20 , 3850 , 1 , 3886 , 3850
0 , 21 , 3850 , 1 , 5056 , 3850
0 , 22 , 3850 , 1 , 4972 , 3850
0 , 23 , 3850 , 1 , 4062 , 3850
0 , 24 , 235 , 1 , 3658 , 3850
0 , 25 , 2350 , 0 , 2781 , 235
0 , 26 , 3000 , 0 , 3438 , 2350
0 , 27 , 3000 , 0 , 3518 , 3000
0 , 28 , 235 , 0 , 2863 , 3000
0 , 29 , 2350 , 0 , 2784 , 235
0 , 30 , 2350 , 1 , 2678 , 2350
0 , 31 , 3000 , 1 , 3676 , 2350
0 , 32 , 3850 , 0 , 4559 , 3000
0 , 33 , 3850 , 1 , 4821 , 3850
0 , 34 , 3850 , 0 , 5022 , 3850
0 , 35 , 3850 , 1 , 4931 , 3850
0 , 36 , 235 , 2 , 3827 , 3850
0 , 37 , 3850 , 3 , 4056 , 235
0 , 38 , 3850 , 4 , 5097 , 3850
0 , 39 , 3850 , 5 , 3984 , 3850
0 , 40 , 3850 , 5 , 4691 , 3850
0 , 41 , 3850 , 5 , 5184 , 3850
0 , 42 , 3850 , 5 , 4351 , 3850
0 , 43 , 235 , 5 , 3407 , 3850
0 , 44 , 3850 , 4 , 4717 , 235
0 , 45 , 3850 , 5 , 4459 , 3850
0 , 46 , 235 , 6 , 3470 , 3850
0 , 47 , 3850 , 6 , 4260 , 235
0 , 48 , 3850 , 5 , 5518 , 3850
0 , 49 , 3850 , 5 , 4317 , 3850
0 , 50 , 3850 , 6 , 5097 , 3850
0 , 51 , 3850 , 5 , 3850 , 3850
0 , 52 , 3850 , 4 , 4428 , 3850
0 , 53 , 3850 , 4 , 4733 , 3850
0 , 54 , 3850 , 4 , 4096 , 3850
0 , 55 , 235 , 3 , 3417 , 3850
0 , 56 , 3850 , 3 , 4415 , 235
0 , 57 , 235 , 2 , 3837 , 3850
0 , 58 , 2350 , 2 , 2496 , 235
0 , 59 , 2350 , 2 , 2749 , 2350
0 , 60 , 3850 , 2 , 4081 , 2350
0 , 61 , 235 , 2 , 3788 , 3850
0 , 62 , 3000 , 3 , 3054 , 235
0 , 63 , 3850 , 3 , 4123 , 3000
0 , 64 , 235 , 2 , 2781 , 3850
0 , 65 , 3000 , 2 , 3284 , 235
0 , 66 , 3000 , 3 , 3745 , 3000
0 , 67 , 3850 , 2 , 5221 , 3000
0 , 68 , 3850 , 2 , 4636 , 3850
0 , 69 , 3850 , 2 , 4850 , 3850
0 , 70 , 3850 , 2 , 5148 , 3850
0 , 71 , 3850 , 1 , 4915 , 3850
0 , 72 , 3850 , 1 , 6375 , 3850
0 , 73 , 3850 , 1 , 6297 , 3850
0 , 74 , 3850 , 1 , 5769 , 3850
0 , 75 , 3850 , 1 , 5526 , 3850
0 , 76 , 3850 , 2 , 5475 , 3850
0 , 77 , 3850 , 2 , 5329 , 3850
0 , 78 , 3850 , 2 , 4544 , 3850
0 , 79 , 3850 , 3 , 4374 , 3850
0 , 80 , 235 , 4 , 3354 , 3850
0 , 81 , 3850 , 5 , 4365 , 235
0 , 82 , 3850 , 6 , 4310 , 3850
0 , 83 , 3850 , 5 , 5185 , 3850
0 , 84 , 3850 , 5 , 4447 , 3850
0 , 85 , 3850 , 6 , 4249 , 3850
0 , 86 , 235 , 6 , 3167 , 3850
0 , 87 , 3850 , 7 , 4187 , 235
0 , 88 , 3850 , 7 , 5236 , 3850
0 , 89 , 3850 , 7 , 4465 , 3850
1 , 0 , 235 , 7 , 3727 , 3850
1 , 1 , 3850 , 7 , 3904 , 235
1 , 2 , 235 , 7 , 2736 , 3850
1 , 3 , 2350 , 7 , 2872 , 235
1 , 4 , 235 , 7 , 1493 , 2350
1 , 5 , 750 , 7 , 755 , 235
1 , 6 , 235 , 8 , 465 , 750
1 , 7 , 560 , 7 , 661 , 235
1 , 8 , 1050 , 7 , 1730 , 560
1 , 9 , 2350 , 7 , 2581 , 1050
1 , 10 , 235 , 7 , 2315 , 2350
1 , 11 , 3000 , 8 , 3292 , 235
1 , 12 , 235 , 8 , 2838 , 3000
1 , 13 , 3000 , 9 , 3261 , 235
1 , 14 , 3850 , 8 , 4118 , 3000
1 , 15 , 3850 , 8 , 4184 , 3850
1 , 16 , 235 , 8 , 2973 , 3850
1 , 17 , 3000 , 8 , 3404 , 235
1 , 18 , 3000 , 8 , 3472 , 3000
1 , 19 , 235 , 7 , 2098 , 3000
1 , 20 , 1050 , 7 , 1658 , 235
1 , 21 , 1750 , 8 , 2249 , 1050
1 , 22 , 235 , 8 , 768 , 1750
1 , 23 , 1050 , 7 , 1090 , 235
1 , 24 , 1750 , 7 , 2268 , 1050
1 , 25 , 3000 , 7 , 3098 , 1750
1 , 26 , 235 , 7 , 2067 , 3000
1 , 27 , 2350 , 7 , 2984 , 235
1 , 28 , 3850 , 8 , 4096 , 2350
1 , 29 , 235 , 8 , 3765 , 3850
1 , 30 , 3850 , 8 , 5197 , 235
1 , 31 , 235 , 9 , 3795 , 3850
1 , 32 , 3000 , 9 , 3754 , 235
1 , 33 , 3850 , 9 , 5144 , 3000
1 , 34 , 3850 , 9 , 4313 , 3850
1 , 35 , 3850 , 9 , 4978 , 3850
1 , 36 , 235 , 9 , 3658 , 3850
1 , 37 , 1750 , 8 , 2184 , 235
1 , 38 , 235 , 8 , 940 , 1750
1 , 39 , 4300 , 8 , 200 , 235
1 , 40 , 235 , 8 , 335 , 4300
1 , 41 , 750 , 9 , 1011 , 235
1 , 42 , 1050 , 9 , 1139 , 750
1 , 43 , 1750 , 9 , 1794 , 1050
1 , 44 , 235 , 9 , 1315 , 1750
1 , 45 , 2350 , 8 , 2552 , 235
1 , 46 , 235 , 8 , 1081 , 2350
1 , 47 , 4300 , 8 , 200 , 235
1 , 48 , 235 , 9 , 535 , 4300
1 , 49 , 4300 , 9 , 225 , 235
1 , 50 , 235 , 8 , 1144 , 4300
1 , 51 , 750 , 8 , 772 , 235
1 , 52 , 1050 , 8 , 1489 , 750
1 , 53 , 235 , 8 , 200 , 1050
