Time,Cycle,Iteration,PacketSize,B,C,R_last
4,0,0,235,0,235,0
8,0,1,560,2,678,235
12,0,2,235,2,200,560
16,0,3,560,0,744,235
20,0,4,750,0,854,560
24,0,5,235,0,200,750
28,0,6,1050,7,1698,235
32,0,7,1050,8,1386,1050
36,0,8,1750,9,2305,1050
40,0,9,2350,10,2998,1750
44,0,10,2350,11,2566,2350
48,0,11,3000,10,3566,2350
52,0,12,235,11,2701,3000
56,0,13,3850,11,4004,235
60,0,14,235,11,2729,3850
64,0,15,2350,11,2667,235
68,0,16,2350,11,2989,2350
72,0,17,3850,10,4275,2350
76,0,18,3850,10,5315,3850
80,0,19,3850,9,4095,3850
84,0,20,235,9,3673,3850
88,0,21,3850,8,4823,235
92,0,22,3850,8,4763,3850
96,0,23,3850,8,5373,3850
100,0,24,3850,8,4964,3850
104,0,25,3850,8,4402,3850
108,0,26,3850,9,5278,3850
112,0,27,3850,10,4327,3850
116,0,28,3850,9,4668,3850
120,0,29,3850,9,5458,3850
124,0,30,3850,10,3992,3850
128,0,31,3850,10,3910,3850
132,0,32,3850,10,3930,3850
136,0,33,235,11,3136,3850
140,0,34,1750,11,2114,235
144,0,35,1750,11,1836,1750
148,0,36,235,12,1360,1750
152,0,37,4300,12,200,235
156,0,38,235,14,1322,4300
160,0,39,1750,15,2274,235
164,0,40,3000,14,3549,1750
168,0,41,3850,15,3994,3000
172,0,42,3850,15,5187,3850
176,0,43,3850,15,4662,3850
180,0,44,235,15,3404,3850
184,0,45,3850,14,4846,235
188,0,46,3850,15,6138,3850
192,0,47,3850,15,5442,3850
196,0,48,3850,15,4822,3850
200,0,49,3850,14,4947,3850
204,0,50,3850,13,4307,3850
208,0,51,3850,12,5560,3850
212,0,52,3850,13,4389,3850
216,0,53,3850,13,4093,3850
220,0,54,3850,13,4367,3850
224,0,55,235,14,3761,3850
228,0,56,3000,14,3409,235
232,0,57,235,14,2544,3000
236,0,58,3850,13,4032,235
240,0,59,3850,13,5246,3850
244,0,60,3850,12,4671,3850
248,0,61,3850,12,4317,3850
252,0,62,235,12,3794,3850
256,0,63,2350,12,2402,235
260,0,64,235,12,2106,2350
264,0,65,750,12,904,235
268,0,66,750,12,1022,750
272,0,67,1050,12,1078,750
276,0,68,235,12,200,1050
280,0,69,1050,8,1054,235
284,0,70,235,8,200,1050
288,0,71,1050,7,1089,235
292,0,72,235,7,291,1050
296,0,73,375,6,501,235
300,0,74,235,6,200,375
304,0,75,750,5,1031,235
308,0,76,235,5,200,750
312,0,77,750,2,962,235
316,0,78,235,2,200,750
320,0,79,1050,1,1124,235
324,0,80,235,1,246,1050
328,0,81,750,0,884,235
332,0,82,1050,0,1724,750
336,0,83,3000,0,3083,1050
340,0,84,235,0,2402,3000
344,0,85,750,0,975,235
348,0,86,235,0,200,750
352,0,87,750,4,890,235
356,0,88,1050,3,1614,750
360,0,89,1050,4,1110,1050
4,1,0,1050,3,1664,1050
8,1,1,1050,2,1716,1050
12,1,2,235,2,974,1050
16,1,3,560,2,560,235
20,1,4,235,2,200,560
24,1,5,560,1,735,235
28,1,6,235,1,211,560
32,1,7,4300,0,200,235
36,1,8,235,0,1526,4300
40,1,9,375,0,425,235
44,1,10,1750,0,1770,375
48,1,11,235,0,1472,1750
52,1,12,2350,0,2825,235
56,1,13,3850,1,4128,2350
60,1,14,3850,0,3866,3850
64,1,15,3850,0,5077,3850
68,1,16,3850,0,5005,3850
72,1,17,3850,0,4288,3850
76,1,18,3850,1,4331,3850
80,1,19,235,2,3551,3850
84,1,20,1750,2,2149,235
88,1,21,2350,3,2369,1750
92,1,22,235,4,2344,2350
96,1,23,1750,5,1814,235
100,1,24,235,5,738,1750
104,1,25,1750,4,2127,235
108,1,26,2350,5,2910,1750
112,1,27,235,5,1476,2350
116,1,28,1050,5,1054,235
120,1,29,235,5,952,1050
124,1,30,1050,5,1517,235
128,1,31,1050,4,1194,1050
132,1,32,1750,4,1885,1050
136,1,33,1750,4,1840,1750
140,1,34,1750,5,2007,1750
144,1,35,2350,4,2389,1750
148,1,36,235,4,1225,2350
152,1,37,235,4,324,235
156,1,38,375,4,543,235
160,1,39,560,3,624,375
164,1,40,235,3,296,560
168,1,41,750,5,861,235
172,1,42,2350,7,2361,750
176,1,43,235,7,1359,2350
180,1,44,2350,6,2591,235
184,1,45,2350,6,2400,2350
188,1,46,3000,5,3089,2350
192,1,47,235,6,2211,3000
196,1,48,1750,6,1764,235
200,1,49,1750,6,1815,1750
204,1,50,235,6,1456,1750
208,1,51,1050,5,1568,235
212,1,52,235,5,797,1050
216,1,53,1050,3,1524,235
220,1,54,2350,5,2933,1050
224,1,55,2350,5,2852,2350
228,1,56,3000,5,3049,2350
232,1,57,3850,6,4009,3000
236,1,58,235,7,3170,3850
240,1,59,3000,7,3837,235
244,1,60,3850,7,4249,3000
248,1,61,3850,8,4808,3850
252,1,62,3850,9,6255,3850
256,1,63,3850,10,5365,3850
260,1,64,3850,10,5106,3850
264,1,65,3850,10,5011,3850
268,1,66,3850,10,4073,3850
272,1,67,235,10,2946,3850
276,1,68,3850,9,3942,235
280,1,69,235,9,2607,3850
284,1,70,2350,8,2646,235
288,1,71,235,8,1369,2350
292,1,72,1750,8,1931,235
296,1,73,1750,7,1875,1750
300,1,74,2350,8,2490,1750
304,1,75,235,8,2128,2350
308,1,76,3000,7,3008,235
312,1,77,235,6,2772,3000
316,1,78,2350,6,2616,235
320,1,79,2350,5,2501,2350
324,1,80,235,5,2020,2350
328,1,81,1750,4,1773,235
332,1,82,3000,3,3223,1750
336,1,83,235,2,2552,3000
340,1,84,1050,1,1408,235
344,1,85,2350,3,2825,1050
348,1,86,2350,3,2569,2350
352,1,87,3000,4,3457,2350
356,1,88,3850,4,4213,3000
360,1,89,235,5,3461,3850
4,2,0,3850,6,4614,235
8,2,1,3850,5,4590,3850
12,2,2,235,5,3549,3850
16,2,3,3850,4,4337,235
20,2,4,235,5,3596,3850
24,2,5,3850,5,4792,235
28,2,6,3850,4,4536,3850
32,2,7,3850,4,4447,3850
36,2,8,3850,4,4099,3850
40,2,9,235,3,2705,3850
44,2,10,1750,3,1792,235
48,2,11,2350,4,2670,1750
52,2,12,3000,4,3664,2350
56,2,13,3000,3,3632,3000
60,2,14,3850,2,4476,3000
64,2,15,3850,2,5074,3850
68,2,16,3850,2,4997,3850
72,2,17,3850,3,6361,3850
76,2,18,3850,3,5110,3850
80,2,19,3850,3,5072,3850
84,2,20,3850,3,4266,3850
88,2,21,3850,3,4373,3850
92,2,22,235,3,2943,3850
96,2,23,3000,3,3113,235
100,2,24,3000,3,3426,3000
104,2,25,3000,4,3815,3000
108,2,26,3850,4,3949,3000
112,2,27,3850,4,5332,3850
116,2,28,3850,4,5022,3850
120,2,29,3850,4,4275,3850
124,2,30,3850,5,5343,3850
128,2,31,3850,5,4099,3850
132,2,32,235,4,3836,3850
136,2,33,3850,4,5294,235
140,2,34,3850,3,4126,3850
144,2,35,235,3,2910,3850
148,2,36,1750,3,2077,235
152,2,37,1750,3,1798,1750
156,2,38,235,3,687,1750
160,2,39,4300,3,200,235
164,2,40,235,2,1667,4300
168,2,41,1050,2,1737,235
172,2,42,1050,3,1540,1050
176,2,43,1750,3,1833,1050
180,2,44,235,3,1629,1750
184,2,45,375,3,381,235
188,2,46,1050,5,1379,375
192,2,47,1050,5,1137,1050
196,2,48,235,5,792,1050
200,2,49,560,6,610,235
204,2,50,235,6,200,560
208,2,51,750,10,952,235
212,2,52,1750,10,2011,750
216,2,53,2350,10,2731,1750
220,2,54,235,9,2084,2350
224,2,55,2350,8,2691,235
228,2,56,235,8,2027,2350
232,2,57,3000,8,3022,235
236,2,58,235,8,1807,3000
240,2,59,1050,7,1145,235
244,2,60,235,7,200,1050
248,2,61,4300,6,205,235
252,2,62,235,6,200,4300
256,2,63,1050,4,1596,235
260,2,64,235,4,239,1050
264,2,65,1050,0,1348,235
268,2,66,235,0,867,1050
272,2,67,4300,0,200,235
276,2,68,235,0,812,4300
280,2,69,375,0,535,235
284,2,70,235,0,200,375
288,2,71,560,2,620,235
292,2,72,1750,5,1787,560
296,2,73,235,4,1293,1750
300,2,74,1050,4,1744,235
304,2,75,1050,4,1142,1050
308,2,76,235,4,200,1050
312,2,77,560,5,709,235
316,2,78,235,5,276,560
320,2,79,4300,4,200,235
324,2,80,235,1,649,4300
328,2,81,375,1,471,235
332,2,82,235,1,200,375
336,2,83,560,0,682,235
340,2,84,1050,0,1699,560
344,2,85,235,0,457,1050
348,2,86,1750,3,1910,235
352,2,87,3000,3,3006,1750
356,2,88,3000,3,3624,3000
360,2,89,235,3,2720,3000
4,3,0,3000,2,3174,235
8,3,1,3850,1,4566,3000
12,3,2,235,1,3389,3850
16,3,3,2350,1,2709,235
20,3,4,3850,3,4169,2350
24,3,5,3850,3,4801,3850
28,3,6,3850,3,4310,3850
32,3,7,3850,3,4180,3850
36,3,8,3850,2,5069,3850
40,3,9,235,2,3842,3850
44,3,10,3850,2,5157,235
48,3,11,3850,2,4829,3850
52,3,12,235,1,3641,3850
56,3,13,3850,1,4168,235
60,3,14,235,2,3294,3850
64,3,15,3000,2,3450,235
68,3,16,3850,3,4826,3000
72,3,17,3850,2,5348,3850
76,3,18,3850,2,3888,3850
80,3,19,235,2,3199,3850
84,3,20,3000,2,3810,235
88,3,21,3850,3,5083,3000
92,3,22,3850,3,4056,3850
96,3,23,3850,3,5385,3850
100,3,24,3850,3,4440,3850
104,3,25,3850,4,4582,3850
108,3,26,3850,4,4895,3850
112,3,27,3850,5,5076,3850
